table,fieldName,description,dataType,units,downloadPkg
dpsd_30_minutes,startDateTime,"Date and time at which a sampling is initiated",dateTime,NA,basic
dpsd_30_minutes,endDateTime,"Date and time at which a sampling is completed",dateTime,NA,basic
dpsd_30_minutes,PM15Median,"Median particulate matter 15",real,milligramsPerCubicMeter,basic
dpsd_30_minutes,PM15Minimum,"Minimum particulate matter 15",real,milligramsPerCubicMeter,basic
dpsd_30_minutes,PM15Maximum,"Maximum particulate matter 15",real,milligramsPerCubicMeter,basic
dpsd_30_minutes,PM15NumPts,"Number of points used to calculate the Median particulate matter 15",real,number,basic
dpsd_30_minutes,PM15MAD,"Median Absolute Deviation (from the median) for particulate matter 15",real,milligramsPerCubicMeter,basic
dpsd_30_minutes,PM15rangeFailQM,"Quality metric that summarizes the failed outcomes of the range test for particulate matter 15 over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM15rangePassQM,"Quality metric that summarizes the passed outcomes of the range test for particulate matter 15 over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM15rangeNAQM,"Quality metric that summarizes when the range test for particulate matter 15 could not be run over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM15persistenceFailQM,"Quality metric that summarizes  the failed outcomes of the persistence test for particulate matter 15 over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM15persistencePassQM,"Quality metric that summarizes the passed outcomes of the persistence test for particulate matter 15 over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM15persistenceNAQM,"Quality metric that summarizes when the persistence test for particulate matter 15 could not be run over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM15stepFailQM,"Quality metric that summarizes the failed outcomes of the step test for particulate matter 15 over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM15stepPassQM,"Quality metric that summarizes the passed outcomes of the step test for particulate matter 15 over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM15stepNAQM,"Quality metric that summarizes when the step test for particulate matter 15 could not be run over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM15nullFailQM,"Quality metric that summarizes the failed outcomes of the null test for particulate matter 15 over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM15nullPassQM,"Quality metric that summarizes the passed outcomes of the null test for particulate matter 15 over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM15nullNAQM,"Quality metric that summarizes when the null test for particulate matter 15 could not be run over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM15gapFailQM,"Quality metric that summarizes the failed outcomes of the gap test for particulate matter 15 over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM15gapPassQM,"Quality metric that summarizes the passed outcomes of the gap test for particulate matter 15 over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM15gapNAQM,"Quality metric that summarizes when the gap test for particulate matter 15 could not be run over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM15spikeFailQM,"Quality metric that summarizes the failed outcomes of the spike test for particulate matter 15 over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM15spikePassQM,"Quality metric that summarizes the passed outcomes of the spike test for particulate matter 15 over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM15spikeNAQM,"Quality metric that summarizes when the spike test for particulate matter 15 could not be run over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM15alphaQM,"Quality metric detailing the outcomes of the alpha quality flag for particulate matter 15 over the averaging period, as a percent and detailed in NEON.DOC.001113",real,percent,expanded
dpsd_30_minutes,PM15betaQM,"Quality metric detailing the outcomes of the beta quality flag for particulate matter 15 over the averaging period, as a percent and detailed in NEON.DOC.001113",real,percent,expanded
dpsd_30_minutes,PM15finalQF,"Quality flag indicating whether the PM15 data product has passed or failed an overall assessment of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass)",unsigned integer,NA,basic
dpsd_30_minutes,PM15finalQFSciRvw,"Particulate matter 15 quality flag indicating whether a data product has failed a science review of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass/not-reviewed)",unsigned integer,NA,expanded
dpsd_30_minutes,PM10Median,"Median particulate matter 10",real,milligramsPerCubicMeter,basic
dpsd_30_minutes,PM10Minimum,"Minimum particulate matter 10",real,milligramsPerCubicMeter,basic
dpsd_30_minutes,PM10Maximum,"Maximum particulate matter 10",real,milligramsPerCubicMeter,basic
dpsd_30_minutes,PM10NumPts,"Number of points used to calculate the Median particulate matter 10",real,number,basic
dpsd_30_minutes,PM10MAD,"Median Absolute Deviation (from the median) for particulate matter 10",real,milligramsPerCubicMeter,basic
dpsd_30_minutes,PM10rangeFailQM,"Quality metric that summarizes the failed outcomes of the range test for particulate matter 10 over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM10rangePassQM,"Quality metric that summarizes the passed outcomes of the range test for particulate matter 10 over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM10rangeNAQM,"Quality metric that summarizes when the range test for particulate matter 10 could not be run over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM10persistenceFailQM,"Quality metric that summarizes  the failed outcomes of the persistence test for particulate matter 10 over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM10persistencePassQM,"Quality metric that summarizes the passed outcomes of the persistence test for particulate matter 10 over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM10persistenceNAQM,"Quality metric that summarizes when the persistence test for particulate matter 10 could not be run over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM10stepFailQM,"Quality metric that summarizes the failed outcomes of the step test for particulate matter 10 over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM10stepPassQM,"Quality metric that summarizes the passed outcomes of the step test for particulate matter 10 over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM10stepNAQM,"Quality metric that summarizes when the step test for particulate matter 10 could not be run over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM10nullFailQM,"Quality metric that summarizes the failed outcomes of the null test for particulate matter 10 over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM10nullPassQM,"Quality metric that summarizes the passed outcomes of the null test for particulate matter 10 over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM10nullNAQM,"Quality metric that summarizes when the null test for particulate matter 10 could not be run over the averaging period, as a percent",real,percent,expanded
